Energy_Type,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
nuclear,Romania,10.705,10.811,10.564,10.69576,10.754,10.698,10.365999,10.557904,10.4416592,10.3454399,10.5567029
nuclear,Russia,159.41134,162.01813,166.29344,161.37962,169.065,182.807,184.054,190.115,181.765,195.535,215.745
nuclear,Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0
nuclear,Serbia,0,0,0,0,0,0,0,0,0,0,0
nuclear,Singapore,0,0,0,0,0,0,0,0,0,0,0
nuclear,Slovakia,12.784002,14.340001,14.411,14.623999,14.42,14.080999,13.731998,14.016001,13.784,14.168,14.2810001
nuclear,Slovenia,5.381,5.902,5.243998,5.036,6.061,5.371999,5.430999,5.967826,5.4899082,5.5329814,6.0408459
nuclear,South Africa,12.89994,12.93854,12.398,13.6147,14.763,10.965,15.209,15.087,10.564,13.603,11.616
nuclear,South Korea,141.894001,147.763,143.548,132.465,149.165001,157.161,154.195001,141.278286,127.0778981,138.6792038,152.583936
nuclear,Spain,59.387,55.235998,58.827,54.473001,54.961001,54.755001,56.099999,55.539999,53.2340001,55.8239999,55.7570001
nuclear,Sri Lanka,0,0,0,0,0,0,0,0,0,0,0
nuclear,Sweden,55.625998,58.026,61.393001,63.597,62.185,54.347,60.524,63.008001,65.801,64.3339999,47.2626974
nuclear,Switzerland,25.205,25.56,24.345,24.870999,26.37,22.095,20.235,19.499,24.4139999,25.28,22.9900001
nuclear,Syria,0,0,0,0,0,0,0,0,0,0,0
nuclear,Taiwan,41.6286891,42.1164908,40.4217298,41.63936,42.388975,36.4711206,31.6613626,22.4455308,27.6783122,32.323432,31.44024503
nuclear,Tajikistan,0,0,0,0,0,0,0,0,0,0,0
nuclear,Thailand,0,0,0,0,0,0,0,0,0,0,0
nuclear,Tunisia,0,0,0,0,0,0,0,0,0,0,0
nuclear,Turkey,0,0,0,0,0,0,0,0,0,0,0
nuclear,Turkmenistan,0,0,0,0,0,0,0,0,0,0,0
nuclear,Ukraine,83.945,84.894,84.886,78,83.123,82.405,76.078,80.406,80.178,78.144,76.202
nuclear,United Arab Emirates,0,0,0,0,0,0,0,0,0,0,1.562
nuclear,United Kingdom,56.442001,62.654999,63.949001,64.133,57.903001,63.894555,65.149085,63.886861,59.0977499,51.0320901,45.6680299
nuclear,United States,806.9683006,790.204367,769.331249,789.016473,797.165982,797.177877,805.693948,804.949635,807.084477,809.409262,789.878863
nuclear,Uruguay,0,0,0,0,0,0,0,0,0,0,0
nuclear,Uzbekistan,0,0,0,0,0,0,0,0,0,0,0
nuclear,Venezuela,0,0,0,0,0,0,0,0,0,0,0
nuclear,Vietnam,0,0,0,0,0,0,0,0,0,0,0
nuclear,Zambia,0,0,0,0,0,0,0,0,0,0,0
fossil_fuels,World,13681.79163,14254.63033,14615.46913,14978.24051,15094.67803,15291.90201,15543.29868,15781.68124,16145.62294,16098.68209,15648.22572
fossil_fuels,Algeria,42.8264,47.67868,53.3685,55.9864,60.14872,64.46144,66.42322,70.86002,71.3272,75.848,72.01491277
fossil_fuels,Argentina,78.725,84.60376,91.8756,91.73084,92.40012,97.379183,100.338115,98.852402,98.0215904,89.9687632,91.118163
fossil_fuels,Australia,212.014138,213.905512,206.632233,195.695324,205.342418,197.440256,207.429731,209.031696,207.4297315,196.1899926,186.7484347
fossil_fuels,Austria,21.783087,20.272966,16.58325,13.459614,10.85449,13.537678,13.478714,15.633422,14.2644157,15.525684,13.1802657
fossil_fuels,Azerbaijan,14.34722,16.56092,19.89698,20.42526,21.85406,21.48746,21.39628,21.00336,21.78638,22.71228,22.96044
fossil_fuels,Bahrain,22.39456,22.87772,23.2885,24.36104,25.61782,26.77496,26.7994,27.4715,27.77324,31.435,29.84638729
fossil_fuels,Bangladesh,37.65734,40.68414,44.9179,48.96084,51.80152,54.78978,63.591,67.61796,72.5962,78.402,74.43984273
fossil_fuels,Belarus,32.67064,30.12888,28.76024,29.33646,32.38018,31.7297,31.1563,31.70526,35.8892,36.67598,34.5309
fossil_fuels,Belgium,37.871351,31.179663,29.602339,26.575003,24.252712,26.808687,25.406576,25.898049,26.6793044,28.2885609,28.9475459
fossil_fuels,Bosnia and Herzegovina,8.55212,10.23942,9.27498,9.6021,9.6115,9.47332,11.37588,11.67856,11.75846,10.36726,10.81752
fossil_fuels,Brazil,60.04532,49.1338,75.83356,110.29772,134.65688,126.938481,90.863524,99.586348,84.4474396,88.6869093,78.9670078
fossil_fuels,Bulgaria,23.46804,27.96594,23.92488,20.63958,22.23852,21.0816,18.606809,19.895178,18.0237516,16.9335501,13.7215124
fossil_fuels,Canada,130.328866,131.306344,124.399507,123.029109,122.897214,125.703531,123.224915,112.229138,111.6704574,109.0238685,100.3356311
fossil_fuels,Chile,34.120827,37.499264,40.968115,43.93715,39.217874,39.993956,42.926146,42.881195,42.5879262,43.4873463,41.3734488
fossil_fuels,China,3132.66562,3589.97656,3648.24058,3956.67902,3984.91756,4021.548832,4171.52419,4491.498878,4684.047627,4802.383276,4926.036507
fossil_fuels,Colombia,15.57298,9.48178,11.98312,21.26938,20.435682,26.820895,24.570492,15.391195,18.5084512,23.4070763,26.3560402
fossil_fuels,Croatia,5.16812,5.5977,5.01114,4.39168,3.28906,3.371443,3.850593,4.321377,3.4641196,3.9686133,4.3376589
fossil_fuels,Cuba,15.82302,16.15578,16.67936,17.20858,17.47272,18.31778,18.46912,18.58568,18.87426,18.62046,17.67944841
fossil_fuels,Czech Republic,45.642443,45.600125,43.233827,40.982421,40.718983,41.380455,43.54857,42.800626,42.5972292,40.7853319,35.5644289
fossil_fuels,Denmark,24.737518,19.657096,14.692006,17.470741,13.149011,9.284628,11.106563,8.399395,8.9538471,6.0104994,4.8797108
fossil_fuels,Dominican Republic,12.47756,13.3104,13.83962,14.51736,14.62828,15.58708,15.698,15.18946,15.91796,16.84198,15.99084644
fossil_fuels,Ecuador,9.99596,8.5822,9.69234,11.1531,11.61276,11.56106,10.20182,6.93532,7.52752,7.47908,6.75585
fossil_fuels,Egypt,124.12324,121.59934,127.34462,130.4673,136.2953,147.63264,151.91998,159.2172,160.2136,165.43812,140.08
fossil_fuels,Estonia,10.760011,10.564632,9.175441,10.678914,9.715937,7.665154,8.988886,9.558855,9.1041387,4.6600503,3.3329721
fossil_fuels,Finland,31.606312,24.459357,17.568061,20.583367,17.030938,13.837125,14.059476,12.4602,14.1817414,11.9366382,9.2898278
fossil_fuels,France,54.362653,56.350103,53.340846,50.121481,33.406763,41.97521,53.251455,61.412355,46.4796484,50.4751223,45.4579358
fossil_fuels,Germany,351.514038,346.272358,351.07179,353.866316,333.900503,332.890695,342.791533,328.746874,310.7798444,264.1422421,232.8862875
fossil_fuels,Greece,42.887052,45.54126,44.229755,38.20503,34.427551,33.243294,35.340474,36.746489,34.6479673,29.4856253,25.0872158
fossil_fuels,Hong Kong,35.99636,36.68632,36.42782,36.71922,37.41482,35.64856,35.86476,34.70292,34.272,34.587,32.9799
fossil_fuels,Hungary,17.004867,16.278151,15.037395,10.975764,9.421955,10.147919,11.287652,12.133482,11.3470503,12.1649381,12.281421
fossil_fuels,Iceland,0.002004,0.002,0.003,0.004998,0.003,0.003999,0.003,0.002085,0.001875,0.002661,0.0030668
fossil_fuels,India,747.89878,804.33732,858.12318,929.619,1026.826,1098.137,1151.511,1125.556737,1208.302886,1180.970059,1137.180433
fossil_fuels,Indonesia,134.27148,151.7207,166.88572,178.12436,189.60646,196.50888,203.75534,209.25152,220.26174,231.07268,224.5754
fossil_fuels,Iran,209.8644,213.78232,225.36688,228.33446,240.5178,247.58942,249.8285,267.88872,268.76386,280.80714,269.8176
fossil_fuels,Iraq,41.49254,47.47564,39.12844,50.4451,60.94678,62.17348,72.05946,80.07766,75.79314,88.30454,83.8419437
fossil_fuels,Ireland,23.555447,20.961037,21.038726,19.172589,18.672379,19.501823,21.919874,21.041883,19.9559394,18.2712922,17.7947102
fossil_fuels,Israel,54.88566,55.74012,58.76786,57.10594,56.29848,59.23128,61.39892,61.79654,62.95932,64.6673,64.20012
fossil_fuels,Italy,211.220061,207.349917,194.704859,166.439507,148.678598,163.850585,171.453657,181.188832,165.4805192,168.0210014,154.6275989
fossil_fuels,Japan,697.893543,784.443223,928.37541,905.511764,899.650104,856.050919,839.138254,813.821528,789.9755981,741.8437459,724.9216559
